trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,XAUUSD,bullish,fvg_retest,85.0,2025-12-12 09:30:00+00:00,4286.07,4282.98,4290.18,0.32,2025-12-12 09:30:00+00:00,4290.18,tp_hit,131.52000000001863,1.3300970873787665,2.24
2,XAUUSD,bullish,fvg_retest,85.0,2025-12-12 09:45:00+00:00,4287.84,4282.98,4294.63,0.21,2025-12-12 10:00:00+00:00,4294.63,tp_hit,142.58999999999924,1.3971193415636112,1.47
3,XAUUSD,bullish,fvg_retest,65.0,2025-12-12 10:30:00+00:00,4294.69,4288.61,4303.21,0.17,2025-12-12 10:30:00+00:00,4303.21,tp_hit,144.84000000000742,1.4013157894737729,1.1900000000000002
4,XAUUSD,bullish,fvg_retest,70.0,2025-12-12 11:00:00+00:00,4308.3099999999995,4295.41,4327.16,0.08,2025-12-12 12:30:00+00:00,4327.16,tp_hit,150.8000000000029,1.4612403100775888,0.56
5,XAUUSD,bullish,fvg_retest,70.0,2025-12-12 13:00:00+00:00,4329.97,4321.77,4341.77,0.13,2025-12-12 15:00:00+00:00,4321.77,sl_hit,-106.59999999999764,-1.0,0.91
6,XAUUSD,bullish,ob_fvg,70.0,2025-12-12 15:15:00+00:00,4337.2,4324.59,4355.715,0.08,2025-12-12 17:15:00+00:00,4324.59,sl_hit,-100.87999999999737,-1.0,0.56
7,XAUUSD,bullish,fvg_retest,70.0,2025-12-12 17:45:00+00:00,4317.84,4295.41,4351.135,0.05,2025-12-12 17:45:00+00:00,4295.41,sl_hit,-112.15000000000146,-1.0,0.35000000000000003
8,XAUUSD,bullish,fvg_retest,85.0,2025-12-12 19:00:00+00:00,4282.11,4269.3,4300.775,0.08,2025-12-12 20:00:00+00:00,4300.775,tp_hit,149.3199999999997,1.457064793130422,0.56
9,XAUUSD,bullish,fvg_retest,65.0,2025-12-15 03:30:00+00:00,4315.22,4307.72,4325.97,0.14,2025-12-15 04:00:00+00:00,4325.97,tp_hit,150.5,1.4333333333333333,0.9800000000000001
10,XAUUSD,bullish,fvg_retest,100.0,2025-12-15 07:15:00+00:00,4326.67,4324.05,4329.925,0.4,2025-12-15 07:15:00+00:00,4329.925,tp_hit,130.20000000000437,1.2423664122138338,2.8000000000000003
11,XAUUSD,bullish,fvg_retest,85.0,2025-12-15 08:00:00+00:00,4343.79,4331.01,4362.435,0.08,2025-12-15 15:45:00+00:00,4331.01,sl_hit,-102.23999999999795,-1.0,0.56
12,XAUUSD,bullish,fvg_retest,85.0,2025-12-15 16:45:00+00:00,4328.37,4324.05,4334.35,0.24,2025-12-15 16:45:00+00:00,4324.05,sl_hit,-103.67999999999302,-1.0,1.68
13,XAUUSD,bullish,fvg_retest,85.0,2025-12-15 21:00:00+00:00,4313.34,4306.32,4323.395,0.15,2025-12-15 22:15:00+00:00,4306.32,sl_hit,-105.30000000000655,-1.0,1.05
14,XAUUSD,bullish,fvg_retest,85.0,2025-12-16 03:45:00+00:00,4314.9,4308.13,4324.605,0.15,2025-12-16 03:45:00+00:00,4308.13,sl_hit,-101.5499999999929,-1.0,1.05
15,XAUUSD,bullish,fvg_retest,85.0,2025-12-16 04:15:00+00:00,4310.97,4308.13,4314.73,0.36,2025-12-16 04:15:00+00:00,4308.13,sl_hit,-102.24000000000524,-1.0,2.52
16,XAUUSD,bullish,fvg_retest,85.0,2025-12-16 04:30:00+00:00,4311.12,4308.13,4315.08,0.34,2025-12-16 04:30:00+00:00,4308.13,sl_hit,-101.65999999999258,-1.0,2.3800000000000003
17,XAUUSD,bullish,fvg_retest,100.0,2025-12-17 15:30:00+00:00,4328.099999999999,4318.02,4342.72,0.1,2025-12-17 15:45:00+00:00,4342.72,tp_hit,146.200000000008,1.450396825397046,0.7000000000000001
18,XAUUSD,bullish,fvg_retest,100.0,2025-12-17 16:00:00+00:00,4342.3,4331.41,4358.135,0.09,2025-12-17 16:00:00+00:00,4331.41,sl_hit,-98.01000000000293,-1.0,0.63
19,XAUUSD,bullish,fvg_retest,100.0,2025-12-17 17:30:00+00:00,4343.78,4331.05,4362.3,0.08,2025-12-17 17:30:00+00:00,4331.05,sl_hit,-101.83999999999651,-1.0,0.56
20,XAUUSD,bullish,fvg_retest,100.0,2025-12-17 22:30:00+00:00,4341.65,4337.02,4348.045,0.22,2025-12-18 01:00:00+00:00,4337.02,sl_hit,-101.85999999998239,-1.0,1.54
21,XAUUSD,bullish,fvg_retest,85.0,2025-12-18 04:30:00+00:00,4334.75,4328.21,4344.06,0.15,2025-12-18 10:00:00+00:00,4328.21,sl_hit,-98.09999999999945,-1.0,1.05
22,XAUUSD,bullish,fvg_retest,90.0,2025-12-18 12:45:00+00:00,4327.2699999999995,4318.02,4340.645,0.11,2025-12-18 14:15:00+00:00,4318.02,sl_hit,-101.74999999999,-1.0,0.77
23,XAUUSD,bullish,fvg_retest,85.0,2025-12-19 04:15:00+00:00,4324.429999999999,4318.82,4332.37,0.17,2025-12-19 04:30:00+00:00,4318.82,sl_hit,-95.36999999999443,-1.0,1.1900000000000002
