trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bullish,fvg_retest,95.0,2026-03-05 01:45:00+00:00,72751.24,72227.49,73531.865,0.19,2026-03-05 08:00:00+00:00,72227.49,sl_hit,-99.5125,-1.0,1.33
2,BTCUSD,bullish,fvg_retest,95.0,2026-03-05 11:15:00+00:00,72609.62,72205.85,73207.1,0.25,2026-03-05 12:15:00+00:00,73207.1,tp_hit,149.37000000000262,1.4797533249127621,1.75
3,BTCUSD,bullish,fvg_retest,95.0,2026-03-05 12:30:00+00:00,73155.87,72615.96,73967.21,0.19,2026-03-05 15:00:00+00:00,72615.96,sl_hit,-102.5828999999979,-1.0,1.33
4,BTCUSD,bullish,fvg_retest,95.0,2026-03-07 17:00:00+00:00,68010.89,67819.62,68292.745,0.52,2026-03-07 17:30:00+00:00,67819.62,sl_hit,-99.46040000000212,-1.0,3.64
5,BTCUSD,bullish,fvg_retest,95.0,2026-03-07 18:00:00+00:00,67870.75,67818.48,67943.48,1.88,2026-03-07 18:00:00+00:00,67818.48,sl_hit,-98.26760000000766,-1.0,13.16
6,BTCUSD,bullish,fvg_retest,95.0,2026-03-07 18:15:00+00:00,67877.38,67819.62,67952.295,1.68,2026-03-07 18:15:00+00:00,67819.62,sl_hit,-97.03680000001565,-1.0,11.76
7,BTCUSD,bullish,fvg_retest,95.0,2026-03-08 05:15:00+00:00,66970.85,66134.9,68220.475,0.12,2026-03-09 01:00:00+00:00,66134.9,sl_hit,-100.3140000000014,-1.0,0.84
8,BTCUSD,bearish,ob_fvg,100.0,2026-03-09 01:15:00+00:00,66064.59,67019.99,64629.19,0.1,2026-03-09 06:00:00+00:00,67019.99,sl_hit,-95.54000000000087,-1.0,0.7000000000000001
9,BTCUSD,bearish,fvg_retest,95.0,2026-03-09 09:30:00+00:00,67496.29,67794.24,67053.465,0.32,2026-03-09 10:15:00+00:00,67053.465,tp_hit,141.70399999999907,1.4862393018962234,2.24
10,BTCUSD,bearish,fvg_retest,95.0,2026-03-09 11:45:00+00:00,67767.92,67830.8,67705.8,1.52,2026-03-09 11:45:00+00:00,67830.8,sl_hit,-95.57760000000708,-1.0,10.64
11,BTCUSD,bullish,fvg_retest,95.0,2026-03-09 15:15:00+00:00,67905.07,67659.53,68268.305,0.39,2026-03-09 15:30:00+00:00,68268.305,tp_hit,141.66164999999455,1.479331269854093,2.73
12,BTCUSD,bullish,fvg_retest,95.0,2026-03-09 16:45:00+00:00,69204.55,68591.03,70105.955,0.16,2026-03-09 20:30:00+00:00,68591.03,sl_hit,-98.16320000000066,-1.0,1.12
13,BTCUSD,bullish,ob_retest,75.0,2026-03-09 22:30:00+00:00,69351.34,68313.23,70896.83,0.09,2026-03-10 11:00:00+00:00,70896.83,tp_hit,139.09410000000045,1.488753600292844,0.63
14,BTCUSD,bullish,fvg_retest,100.0,2026-03-10 17:30:00+00:00,69793.51,69377.1,70414.925,0.23,2026-03-10 17:30:00+00:00,70414.925,tp_hit,142.9254500000019,1.4923152662040409,1.61
15,BTCUSD,bullish,ob_fvg,100.0,2026-03-10 17:45:00+00:00,70444.25,69415.81,71982.26,0.1,2026-03-11 08:30:00+00:00,69415.81,sl_hit,-102.84400000000024,-1.0,0.7000000000000001
16,BTCUSD,bullish,fvg_retest,75.0,2026-03-13 23:00:00+00:00,71177.43,70649.98,71952.655,0.18,2026-03-14 01:15:00+00:00,70649.98,sl_hit,-94.94099999999948,-1.0,1.26
17,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 10:00:00+00:00,70632.4,70177.87,71305.095,0.21,2026-03-15 05:00:00+00:00,71305.095,tp_hit,141.26595000000145,1.4799793192968753,1.47
18,BTCUSD,bullish,fvg_retest,100.0,2026-03-15 05:15:00+00:00,71297.97,70944.93,71822.355,0.28,2026-03-15 12:00:00+00:00,71822.355,tp_hit,146.82779999999855,1.4853416043507326,1.9600000000000002
19,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 14:45:00+00:00,71746.82,71577.36,71999.46,0.58,2026-03-15 15:30:00+00:00,71577.36,sl_hit,-98.28680000000371,-1.0,4.06
20,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 16:30:00+00:00,71517.58,71353.65,71757.325,0.6,2026-03-15 16:30:00+00:00,71353.65,sl_hit,-98.35800000000454,-1.0,4.2
21,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 17:00:00+00:00,71600.34,71353.65,71975.075,0.39,2026-03-15 17:30:00+00:00,71353.65,sl_hit,-96.20910000000092,-1.0,2.73
22,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 18:00:00+00:00,71623.76,71353.65,72017.875,0.35,2026-03-15 19:15:00+00:00,71353.65,sl_hit,-94.5385000000002,-1.0,2.4499999999999997
23,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 19:45:00+00:00,71441.55,71353.65,71577.475,1.08,2026-03-15 19:45:00+00:00,71353.65,sl_hit,-94.93200000000944,-1.0,7.5600000000000005
24,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 20:30:00+00:00,71513.04,71353.65,71722.175,0.59,2026-03-15 20:45:00+00:00,71722.175,tp_hit,123.38965000000549,1.3120961164440057,4.13
25,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 21:30:00+00:00,71722.81,71536.38,71993.23,0.51,2026-03-15 21:45:00+00:00,71536.38,sl_hit,-95.07929999999644,-1.0,3.5700000000000003
26,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 22:15:00+00:00,71478.15,71353.65,71661.65,0.75,2026-03-15 23:30:00+00:00,71661.65,tp_hit,137.625,1.4738955823293172,5.25
27,BTCUSD,bullish,ob_fvg,75.0,2026-03-15 23:45:00+00:00,71840.88,71420.37,72466.545,0.23,2026-03-16 01:30:00+00:00,72466.545,tp_hit,143.90294999999853,1.4878718698722497,1.61
28,BTCUSD,bullish,ob_retest,75.0,2026-03-16 01:45:00+00:00,72383.22,71758.75,73314.9,0.15,2026-03-16 06:30:00+00:00,73314.9,tp_hit,139.75199999999896,1.491953176293483,1.05
29,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 14:45:00+00:00,73605.72,73434.04,73860.74,0.57,2026-03-16 15:15:00+00:00,73860.74,tp_hit,145.3614000000023,1.4854380242310858,3.9899999999999998
30,BTCUSD,bullish,fvg_retest,70.0,2026-03-16 18:15:00+00:00,73667.62,72872.1,74855.85,0.12,2026-03-17 01:00:00+00:00,74855.85,tp_hit,142.58760000000126,1.493651950925214,0.84
31,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 10:30:00+00:00,74401.92,74093.26,74864.185,0.33,2026-03-17 12:00:00+00:00,74093.26,sl_hit,-101.85780000000116,-1.0,2.31
32,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 13:30:00+00:00,73746.55,73480.31,74142.51,0.37,2026-03-17 14:45:00+00:00,74142.51,tp_hit,146.505199999997,1.4872295673076323,2.59
33,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 15:45:00+00:00,73834.98,73772.9,73926.75,1.63,2026-03-17 15:45:00+00:00,73772.9,sl_hit,-101.19040000000284,-1.0,11.41
34,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 17:15:00+00:00,73711.51,73480.31,74053.11,0.43,2026-03-17 17:30:00+00:00,74053.11,tp_hit,146.8880000000025,1.4775086505190749,3.01
35,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 18:00:00+00:00,74373.73,73925.41,75041.185,0.23,2026-03-17 18:30:00+00:00,73925.41,sl_hit,-103.11359999999826,-1.0,1.61
