trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,EURUSD,bearish,fvg_retest,100.0,2026-01-05 12:30:00+00:00,1.168,1.16879,1.16729,1.27,2026-01-05 12:45:00+00:00,1.16879,sl_hit,-100.3300000000087,-1.0,8.89
2,EURUSD,bearish,fvg_retest,80.0,2026-01-05 15:15:00+00:00,1.16626,1.16783,1.16443,0.63,2026-01-05 16:00:00+00:00,1.16783,sl_hit,-98.90999999999052,-1.0,4.41
3,EURUSD,bearish,fvg_retest,100.0,2026-01-07 21:15:00+00:00,1.16791,1.16886,1.16696,1.03,2026-01-08 10:30:00+00:00,1.16696,tp_hit,97.85000000000068,1.0,7.21
4,EURUSD,bearish,ob_fvg,100.0,2026-01-08 15:45:00+00:00,1.16645,1.16793,1.16473,0.67,2026-01-08 19:15:00+00:00,1.16473,tp_hit,115.23999999999623,1.1621621621621825,4.69
5,EURUSD,bearish,fvg_retest,80.0,2026-01-08 19:30:00+00:00,1.16446,1.16557,1.16332,0.9,2026-01-08 23:30:00+00:00,1.16557,sl_hit,-99.899999999995,-1.0,6.3
6,EURUSD,bearish,fvg_retest,100.0,2026-01-09 00:00:00+00:00,1.16509,1.16654,1.16487,0.68,2026-01-09 03:30:00+00:00,1.16487,tp_hit,14.959999999992313,0.15172413793096162,4.760000000000001
7,EURUSD,bearish,fvg_retest,100.0,2026-01-09 08:00:00+00:00,1.16485,1.16565,1.16415,1.24,2026-01-09 09:30:00+00:00,1.16415,tp_hit,86.79999999999045,0.8749999999997572,8.68
8,EURUSD,bearish,ob_retest,80.0,2026-01-09 10:45:00+00:00,1.16401,1.16523,1.16268,0.82,2026-01-09 15:30:00+00:00,1.16523,sl_hit,-100.03999999999989,-1.0,5.739999999999999
9,EURUSD,bearish,ob_retest,100.0,2026-01-09 16:00:00+00:00,1.16426,1.16621,1.16181,0.51,2026-01-09 17:15:00+00:00,1.16181,tp_hit,124.95000000000323,1.2564102564103556,3.5700000000000003
10,EURUSD,bullish,fvg_retest,80.0,2026-01-26 01:45:00+00:00,1.18676,1.18589,1.18756,1.15,2026-01-26 01:45:00+00:00,1.18589,sl_hit,-100.04999999999153,-1.0,8.049999999999999
11,EURUSD,bullish,fvg_retest,80.0,2026-01-26 02:30:00+00:00,1.1855,1.18273,1.18918,0.36,2026-01-26 17:45:00+00:00,1.18918,tp_hit,132.47999999999658,1.328519855595663,2.52
12,EURUSD,bullish,fvg_retest,100.0,2026-01-26 18:00:00+00:00,1.18966,1.18774,1.19209,0.52,2026-01-26 19:15:00+00:00,1.18774,sl_hit,-99.83999999999594,-1.0,3.64
13,EURUSD,bullish,fvg_retest,100.0,2026-01-27 04:45:00+00:00,1.18983,1.18775,1.1925,0.48,2026-01-27 06:00:00+00:00,1.18775,sl_hit,-99.83999999999325,-1.0,3.36
