trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bullish,ob_retest,75.0,2026-03-09 22:30:00+00:00,69351.34,68313.23,70896.83,0.1,2026-03-10 11:00:00+00:00,70896.83,tp_hit,154.54900000000055,1.488753600292844,0.7000000000000001
2,BTCUSD,bullish,fvg_retest,75.0,2026-03-13 23:00:00+00:00,71177.43,70649.98,71952.655,0.19,2026-03-14 01:15:00+00:00,70649.98,sl_hit,-100.21549999999945,-1.0,1.33
3,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 10:00:00+00:00,70632.4,70177.87,71305.095,0.22,2026-03-15 05:00:00+00:00,71305.095,tp_hit,147.99290000000153,1.4799793192968753,1.54
4,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 14:45:00+00:00,71746.82,71577.36,71999.46,0.6,2026-03-15 15:30:00+00:00,71577.36,sl_hit,-101.67600000000384,-1.0,4.2
5,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 16:30:00+00:00,71517.58,71353.65,71757.325,0.62,2026-03-15 16:30:00+00:00,71353.65,sl_hit,-101.63660000000469,-1.0,4.34
6,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 17:00:00+00:00,71600.34,71353.65,71975.075,0.4,2026-03-15 17:30:00+00:00,71353.65,sl_hit,-98.67600000000094,-1.0,2.8000000000000003
7,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 18:00:00+00:00,71623.76,71353.65,72017.875,0.37,2026-03-15 19:15:00+00:00,71353.65,sl_hit,-99.94070000000022,-1.0,2.59
8,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 19:45:00+00:00,71441.55,71353.65,71577.475,1.11,2026-03-15 19:45:00+00:00,71353.65,sl_hit,-97.5690000000097,-1.0,7.7700000000000005
9,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 01:00:00+00:00,72109.09,71799.27,72565.645,0.31,2026-03-16 01:00:00+00:00,71799.27,sl_hit,-96.04419999999766,-1.0,2.17
10,BTCUSD,bullish,ob_retest,75.0,2026-03-16 01:45:00+00:00,72383.22,71758.75,73314.9,0.15,2026-03-16 06:30:00+00:00,73314.9,tp_hit,139.75199999999896,1.491953176293483,1.05
11,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 14:45:00+00:00,73605.72,73434.04,73860.74,0.57,2026-03-16 15:15:00+00:00,73860.74,tp_hit,145.3614000000023,1.4854380242310858,3.9899999999999998
12,BTCUSD,bullish,fvg_retest,70.0,2026-03-16 18:15:00+00:00,73667.62,72872.1,74855.85,0.12,2026-03-17 01:00:00+00:00,74855.85,tp_hit,142.58760000000126,1.493651950925214,0.84
13,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 10:30:00+00:00,74401.92,74093.26,74864.185,0.32,2026-03-17 12:00:00+00:00,74093.26,sl_hit,-98.77120000000112,-1.0,2.24
14,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 13:30:00+00:00,73746.55,73480.31,74142.51,0.37,2026-03-17 14:45:00+00:00,74142.51,tp_hit,146.505199999997,1.4872295673076323,2.59
15,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 15:45:00+00:00,73834.98,73772.9,73926.75,1.62,2026-03-17 15:45:00+00:00,73772.9,sl_hit,-100.56960000000284,-1.0,11.34
16,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 17:15:00+00:00,73711.51,73480.31,74053.11,0.43,2026-03-17 17:30:00+00:00,74053.11,tp_hit,146.8880000000025,1.4775086505190749,3.01
17,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 18:00:00+00:00,74373.73,73925.41,75041.185,0.22,2026-03-17 18:30:00+00:00,73925.41,sl_hit,-98.63039999999833,-1.0,1.54
18,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 19:00:00+00:00,73908.06,73793.76,74075.56,0.87,2026-03-17 19:00:00+00:00,74075.56,tp_hit,145.725,1.4654418197724912,6.09
19,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 19:15:00+00:00,73962.11,73793.76,74209.535,0.6,2026-03-17 19:15:00+00:00,74209.535,tp_hit,148.45500000000175,1.4697059697059363,4.2
20,BTCUSD,bullish,fvg_retest,75.0,2026-03-18 23:45:00+00:00,71162.7,71037.34,71345.665,0.82,2026-03-19 00:00:00+00:00,71345.665,tp_hit,150.03129999999712,1.4595165922143878,5.739999999999999
21,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 01:30:00+00:00,71091.01,71037.33,71162.33,1.94,2026-03-19 01:30:00+00:00,71037.33,sl_hit,-104.13919999998645,-1.0,13.58
22,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 04:30:00+00:00,71068.6,70805.85,71459.625,0.39,2026-03-19 06:15:00+00:00,71459.625,tp_hit,152.49974999999773,1.4882017126545926,2.73
