trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bullish,ob_retest,75.0,2026-03-09 22:30:00+00:00,69351.34,68313.23,70896.83,0.1,2026-03-10 11:00:00+00:00,70896.83,tp_hit,154.54900000000055,1.488753600292844,0.7000000000000001
2,BTCUSD,bullish,fvg_retest,75.0,2026-03-13 22:45:00+00:00,71130.96,70628.93,71878.93,0.2,2026-03-14 01:30:00+00:00,70628.93,sl_hit,-100.40600000000268,-1.0,1.4000000000000001
3,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 08:15:00+00:00,71105.04,70602.4,71852.4,0.2,2026-03-14 09:30:00+00:00,70602.4,sl_hit,-100.52799999999989,-1.0,1.4000000000000001
4,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 10:00:00+00:00,70632.4,70128.76,71378.76,0.2,2026-03-15 05:30:00+00:00,71378.76,tp_hit,149.27200000000013,1.4819315384004477,1.4000000000000001
5,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 14:45:00+00:00,71746.82,71246.2,72496.2,0.2,2026-03-16 01:45:00+00:00,72496.2,tp_hit,149.87599999999802,1.496903839239294,1.4000000000000001
6,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 02:15:00+00:00,72988.6,72486.65,73736.65,0.2,2026-03-16 02:15:00+00:00,72486.65,sl_hit,-100.39000000000233,-1.0,1.4000000000000001
7,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 14:45:00+00:00,73605.72,73104.72,74354.72,0.2,2026-03-16 16:30:00+00:00,74354.72,tp_hit,149.8,1.4950099800399201,1.4000000000000001
8,BTCUSD,bullish,fvg_retest,70.0,2026-03-16 18:15:00+00:00,73667.62,72872.1,74855.85,0.13,2026-03-17 01:00:00+00:00,74855.85,tp_hit,154.46990000000136,1.493651950925214,0.91
9,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 10:30:00+00:00,74401.92,73901.63,75151.63,0.21,2026-03-17 12:45:00+00:00,73901.63,sl_hit,-105.06089999999865,-1.0,1.47
10,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 13:30:00+00:00,73746.55,73245.19,74495.19,0.21,2026-03-17 18:00:00+00:00,74495.19,tp_hit,157.21439999999987,1.4932184458273468,1.47
11,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 19:00:00+00:00,73908.06,73406.48,74656.48,0.21,2026-03-17 21:00:00+00:00,74656.48,tp_hit,157.16819999999962,1.4921248853622466,1.47
12,BTCUSD,bullish,fvg_retest,75.0,2026-03-18 23:45:00+00:00,71162.7,70660.67,71910.67,0.21,2026-03-19 07:30:00+00:00,70660.67,sl_hit,-105.42629999999976,-1.0,1.47
13,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 07:45:00+00:00,70786.96,70285.24,71535.24,0.21,2026-03-19 10:00:00+00:00,70285.24,sl_hit,-105.36120000000024,-1.0,1.47
14,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 18:15:00+00:00,69697.95,69192.03,70442.03,0.21,2026-03-19 18:15:00+00:00,69192.03,sl_hit,-106.24319999999963,-1.0,1.47
15,BTCUSD,bullish,fvg_retest,75.0,2026-03-20 02:00:00+00:00,70186.32,69684.94,70934.94,0.21,2026-03-20 07:00:00+00:00,70934.94,tp_hit,157.21019999999902,1.493118991583207,1.47
16,BTCUSD,bullish,fvg_retest,75.0,2026-03-20 07:30:00+00:00,70917.14,70414.83,71664.83,0.21,2026-03-20 09:15:00+00:00,70414.83,sl_hit,-105.4850999999995,-1.0,1.47
17,BTCUSD,bullish,fvg_retest,75.0,2026-03-20 23:15:00+00:00,70196.23,69694.0,70944.0,0.21,2026-03-21 17:00:00+00:00,70944.0,tp_hit,157.03170000000085,1.4888995081934773,1.47
18,BTCUSD,bearish,fvg_retest,75.0,2026-04-19 00:15:00+00:00,75713.91,76216.89,74966.89,0.21,2026-04-19 10:15:00+00:00,74966.89,tp_hit,156.87420000000085,1.4851882778639511,1.47
19,BTCUSD,bearish,fvg_retest,75.0,2026-04-19 14:30:00+00:00,75363.63,75865.37,74615.37,0.21,2026-04-19 16:15:00+00:00,75865.37,sl_hit,-105.36539999999805,-1.0,1.47
