trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bullish,ob_retest,75.0,2026-03-09 22:30:00+00:00,69351.34,68313.23,70896.83,0.1,2026-03-10 11:00:00+00:00,70896.83,tp_hit,154.54900000000055,1.488753600292844,0.7000000000000001
2,BTCUSD,bullish,fvg_retest,75.0,2026-03-13 23:00:00+00:00,71177.43,70649.98,71952.655,0.19,2026-03-14 01:15:00+00:00,70649.98,sl_hit,-100.21549999999945,-1.0,1.33
3,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 08:15:00+00:00,71105.04,70802.4,71552.4,0.33,2026-03-14 09:15:00+00:00,70802.4,sl_hit,-99.87119999999982,-1.0,2.31
4,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 10:00:00+00:00,70632.4,70177.87,71305.095,0.22,2026-03-15 05:00:00+00:00,71305.095,tp_hit,147.99290000000153,1.4799793192968753,1.54
5,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 14:45:00+00:00,71746.82,71446.2,72196.2,0.34,2026-03-15 16:00:00+00:00,71446.2,sl_hit,-102.21080000000337,-1.0,2.3800000000000003
6,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 16:30:00+00:00,71517.58,71215.12,71965.12,0.33,2026-03-15 20:45:00+00:00,71965.12,tp_hit,147.6881999999979,1.4796667327910604,2.31
7,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 21:30:00+00:00,71722.81,71419.12,72169.12,0.33,2026-03-15 21:45:00+00:00,71419.12,sl_hit,-100.21770000000078,-1.0,2.31
8,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 22:15:00+00:00,71478.15,71176.85,71926.85,0.33,2026-03-16 00:30:00+00:00,71926.85,tp_hit,148.07100000000383,1.4892134085629902,2.31
9,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 01:00:00+00:00,72109.09,71799.27,72565.645,0.33,2026-03-16 01:00:00+00:00,71799.27,sl_hit,-102.24059999999751,-1.0,2.31
10,BTCUSD,bullish,ob_retest,75.0,2026-03-16 01:45:00+00:00,72383.22,71758.75,73314.9,0.16,2026-03-16 06:30:00+00:00,73314.9,tp_hit,149.06879999999887,1.491953176293483,1.12
11,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 14:45:00+00:00,73605.72,73304.72,74054.72,0.34,2026-03-16 16:30:00+00:00,74054.72,tp_hit,152.66000000000003,1.4916943521594683,2.3800000000000003
12,BTCUSD,bullish,fvg_retest,70.0,2026-03-16 18:15:00+00:00,73667.62,72872.1,74855.85,0.13,2026-03-17 01:00:00+00:00,74855.85,tp_hit,154.46990000000136,1.493651950925214,0.91
13,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 10:30:00+00:00,74401.92,74093.26,74864.185,0.34,2026-03-17 12:00:00+00:00,74093.26,sl_hit,-104.9444000000012,-1.0,2.3800000000000003
14,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 13:30:00+00:00,73746.55,73445.19,74195.19,0.35,2026-03-17 14:45:00+00:00,74195.19,tp_hit,157.02399999999977,1.4887178125829525,2.4499999999999997
15,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 15:45:00+00:00,73834.98,73534.44,74284.44,0.35,2026-03-17 16:45:00+00:00,73534.44,sl_hit,-105.18899999999775,-1.0,2.4499999999999997
16,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 17:15:00+00:00,73711.51,73409.43,74159.43,0.35,2026-03-17 17:30:00+00:00,74159.43,tp_hit,156.77199999999937,1.4827860169491383,2.4499999999999997
17,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 18:00:00+00:00,74373.73,73925.41,75041.185,0.24,2026-03-17 18:30:00+00:00,73925.41,sl_hit,-107.59679999999818,-1.0,1.68
18,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 19:00:00+00:00,73908.06,73606.48,74356.48,0.35,2026-03-17 20:15:00+00:00,74356.48,tp_hit,156.94699999999938,1.486902314477073,2.4499999999999997
19,BTCUSD,bullish,fvg_retest,75.0,2026-03-18 23:45:00+00:00,71162.7,70860.67,71610.67,0.35,2026-03-19 07:00:00+00:00,70860.67,sl_hit,-105.71049999999958,-1.0,2.4499999999999997
20,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 07:45:00+00:00,70786.96,70485.24,71235.24,0.35,2026-03-19 10:00:00+00:00,70485.24,sl_hit,-105.6020000000004,-1.0,2.4499999999999997
21,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 18:15:00+00:00,69697.95,69355.82,70196.345,0.31,2026-03-19 18:15:00+00:00,69355.82,sl_hit,-106.06029999999693,-1.0,2.17
22,BTCUSD,bullish,fvg_retest,75.0,2026-03-20 02:00:00+00:00,70186.32,69842.84,70698.09,0.3,2026-03-20 02:30:00+00:00,69842.84,sl_hit,-103.04400000000314,-1.0,2.1
